match_id,minute,blue_win,blue_kills,red_kills,diff_kills,blue_towers,red_towers,diff_towers,blue_dragons,red_dragons,blue_barons,red_barons,blue_heralds,red_heralds,diff_dragons,diff_barons,blue_total_gold,red_total_gold,diff_total_gold,blue_top_current_gold,red_top_current_gold,diff_top_current_gold,blue_top_total_gold,red_top_total_gold,diff_top_total_gold,blue_top_cs,red_top_cs,diff_top_cs,blue_top_level,red_top_level,diff_top_level,blue_jg_current_gold,red_jg_current_gold,diff_jg_current_gold,blue_jg_total_gold,red_jg_total_gold,diff_jg_total_gold,blue_jg_cs,red_jg_cs,diff_jg_cs,blue_jg_level,red_jg_level,diff_jg_level,blue_mid_current_gold,red_mid_current_gold,diff_mid_current_gold,blue_mid_total_gold,red_mid_total_gold,diff_mid_total_gold,blue_mid_cs,red_mid_cs,diff_mid_cs,blue_mid_level,red_mid_level,diff_mid_level,blue_bot_current_gold,red_bot_current_gold,diff_bot_current_gold,blue_bot_total_gold,red_bot_total_gold,diff_bot_total_gold,blue_bot_cs,red_bot_cs,diff_bot_cs,blue_bot_level,red_bot_level,diff_bot_level,blue_sup_current_gold,red_sup_current_gold,diff_sup_current_gold,blue_sup_total_gold,red_sup_total_gold,diff_sup_total_gold,blue_sup_cs,red_sup_cs,diff_sup_cs,blue_sup_level,red_sup_level,diff_sup_level
KR_8189170297,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,0,500,500,0,500,500,0,0,0,0,1,1,0,500,500,0,500,500,0,0,0,0,1,1,0,500,500,0,500,500,0,0,0,0,1,1,0,500,500,0,500,500,0,0,0,0,1,1,0,100,100,0,500,500,0,0,0,0,1,1,0
KR_8189170297,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2528,2505,23,28,0,28,528,500,28,2,0,2,1,1,0,50,0,50,500,500,0,0,0,0,1,1,0,0,0,0,500,500,0,0,0,0,1,1,0,0,5,-5,500,505,-5,0,0,0,1,1,0,0,0,0,500,500,0,0,0,0,1,1,0
KR_8189170297,2.0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,3794,4442,-648,208,635,-427,783,1135,-352,10,7,3,2,2,0,333,557,-224,783,1057,-274,8,12,-4,2,3,-1,227,297,-70,727,797,-70,6,11,-5,2,2,0,337,294,43,837,794,43,13,10,3,2,2,0,164,159,5,664,659,5,1,2,-1,2,2,0
KR_8189170297,3.0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,5307,6050,-743,150,1110,-960,1125,1610,-485,21,14,7,3,4,-1,725,1014,-289,1175,1514,-339,20,24,-4,3,4,-1,491,93,398,991,993,-2,14,15,-1,4,3,1,651,538,113,1151,1038,113,22,17,5,3,3,0,365,395,-30,865,895,-30,2,4,-2,3,3,0
KR_8189170297,4.0,0,2,4,-2,0,0,0,0,0,0,0,0,0,0,0,7272,8104,-832,412,1413,-1001,1387,1913,-526,27,24,3,4,5,-1,848,1249,-401,1298,1749,-451,20,30,-10,3,4,-1,51,264,-213,1176,1164,12,18,18,0,4,4,0,1556,1103,453,2056,1603,453,29,25,4,3,4,-1,855,1175,-320,1355,1675,-320,4,4,0,4,4,0
KR_8189170297,5.0,0,2,5,-3,0,0,0,0,0,0,0,0,0,0,0,8540,9515,-975,296,13,283,1771,2313,-542,35,30,5,5,5,0,33,426,-393,1583,2076,-493,28,38,-10,4,5,-1,255,562,-307,1380,1462,-82,23,28,-5,5,5,0,230,258,-28,2280,1833,447,35,31,4,4,4,0,151,356,-205,1526,1831,-305,6,5,1,4,4,0
KR_8189170297,6.0,0,2,6,-4,0,0,0,0,0,0,0,0,0,0,0,9989,11010,-1021,722,184,538,2197,2484,-287,51,33,18,6,6,0,251,731,-480,1801,2381,-580,32,44,-12,5,5,0,467,120,347,1592,1970,-378,29,31,-2,6,5,1,593,564,29,2643,2139,504,47,42,5,4,5,-1,376,561,-185,1756,2036,-280,8,8,0,4,5,-1
KR_8189170297,7.0,0,3,9,-6,0,0,0,0,0,0,0,0,0,0,0,11590,13586,-1996,274,140,134,2449,2865,-416,57,38,19,6,7,-1,569,1782,-1213,2119,3432,-1313,38,50,-12,5,6,-1,731,486,245,1856,2336,-480,35,43,-8,6,6,0,100,1032,-932,3100,2607,493,49,51,-2,5,5,0,161,271,-110,2066,2346,-280,8,8,0,5,5,0
KR_8189170297,8.0,0,3,11,-8,0,0,0,0,0,0,0,0,0,0,0,12820,15774,-2954,180,587,-407,2755,3312,-557,68,47,21,7,8,-1,725,232,493,2275,3982,-1707,40,58,-18,5,7,-2,248,1267,-1019,2073,3117,-1044,41,56,-15,7,7,0,440,286,154,3440,2811,629,62,56,6,6,6,0,367,477,-110,2277,2552,-275,12,12,0,5,5,0
KR_8189170297,9.0,0,3,13,-10,0,0,0,0,0,0,0,0,0,0,0,14113,17730,-3617,459,64,395,3034,3589,-555,75,47,28,7,8,-1,153,961,-808,2408,4711,-2303,41,66,-25,5,7,-2,585,556,29,2410,3506,-1096,44,63,-19,7,8,-1,787,633,154,3787,3158,629,73,67,6,6,6,0,564,691,-127,2474,2766,-292,12,14,-2,6,6,0
KR_8189170297,10.0,0,4,14,-10,0,0,0,0,0,0,0,0,0,0,0,15918,19758,-3840,793,408,385,3368,3933,-565,88,56,32,8,9,-1,370,1371,-1001,2625,5121,-2496,45,74,-29,6,8,-2,696,1140,-444,2771,4090,-1319,56,70,-14,8,8,0,398,1046,-648,4298,3571,727,79,78,1,6,7,-1,296,968,-672,2856,3043,-187,13,15,-2,6,6,0
KR_8189170297,11.0,0,5,16,-11,0,0,0,1,0,0,0,0,0,1,0,17903,21939,-4036,463,291,172,3538,4366,-828,91,67,24,8,9,-1,1052,725,327,3307,5812,-2505,53,80,-27,7,8,-1,130,473,-343,3055,4523,-1468,59,75,-16,8,9,-1,954,1374,-420,4854,3899,955,92,85,7,7,7,0,589,364,225,3149,3339,-190,14,15,-1,7,7,0
KR_8189170297,12.0,0,7,18,-11,0,0,0,1,0,0,0,0,0,1,0,20127,23931,-3804,68,703,-635,3943,4778,-835,99,76,23,9,10,-1,299,1402,-1103,3429,6489,-3060,53,89,-36,7,9,-2,1132,373,759,4132,4873,-741,69,80,-11,9,9,0,201,423,-222,5201,4123,1078,94,91,3,7,8,-1,87,93,-6,3422,3668,-246,14,15,-1,7,7,0
KR_8189170297,13.0,0,8,20,-12,0,0,0,1,0,0,0,0,0,1,0,22628,26845,-4217,411,484,-73,4286,5234,-948,110,86,24,9,11,-2,736,1890,-1154,3866,6977,-3111,65,105,-40,8,10,-2,324,817,-493,4374,5317,-943,74,91,-17,10,10,0,1072,1356,-284,6072,5061,1011,105,105,0,8,8,0,685,681,4,4030,4256,-226,16,16,0,8,8,0
KR_8189170297,14.0,0,8,21,-13,0,0,0,1,0,0,0,0,0,1,0,23844,28393,-4549,370,973,-603,4545,5723,-1178,118,95,23,10,12,-2,982,369,613,4117,7469,-3352,72,109,-37,8,10,-2,173,218,-45,4623,5518,-895,81,95,-14,10,10,0,367,198,169,6322,5253,1069,111,109,2,8,8,0,212,155,57,4237,4430,-193,16,16,0,8,8,0
KR_8189170297,15.0,0,8,22,-14,0,1,-1,1,0,0,0,0,0,1,0,25184,31377,-6193,594,33,561,4769,6158,-1389,124,108,16,10,13,-3,794,1076,-282,4429,8186,-3757,80,115,-35,9,11,-2,82,1383,-1301,4802,6683,-1881,85,110,-25,10,11,-1,750,603,147,6705,5658,1047,122,121,1,9,9,0,444,412,32,4479,4692,-213,18,17,1,8,8,0
KR_8189170297,16.0,0,10,25,-15,0,1,-1,1,0,0,0,0,0,1,0,27483,34364,-6881,1046,472,574,5221,6602,-1381,139,115,24,11,13,-2,123,477,-354,4633,8687,-4054,80,119,-39,9,11,-2,266,2069,-1803,5786,7369,-1583,91,120,-29,11,12,-1,737,128,609,6942,6633,309,126,126,0,9,9,0,66,293,-227,4901,5073,-172,18,17,1,9,9,0
KR_8189170297,17.0,0,10,25,-15,0,2,-2,1,0,0,0,0,0,1,0,28810,36337,-7527,291,897,-606,5466,7027,-1561,144,128,16,11,14,-3,360,803,-443,4870,9018,-4148,84,124,-40,9,11,-2,566,909,-343,6086,7709,-1623,100,127,-27,11,12,-1,1106,628,478,7311,7133,178,137,135,2,9,10,-1,242,624,-382,5077,5450,-373,18,18,0,9,9,0
KR_8189170297,18.0,0,10,25,-15,0,2,-2,1,1,0,0,0,0,0,0,30375,38107,-7732,581,1303,-722,5756,7433,-1677,151,142,9,12,15,-3,731,1211,-480,5241,9426,-4185,92,136,-44,10,12,-2,947,1246,-299,6467,8051,-1584,113,138,-25,12,13,-1,502,1066,-564,7657,7571,86,147,149,-2,10,10,0,139,801,-662,5254,5626,-372,18,18,0,9,9,0
KR_8189170297,19.0,0,10,27,-17,0,4,-4,1,1,0,0,0,0,0,0,31616,41157,-9541,282,182,100,5907,8212,-2305,153,154,-1,12,15,-3,164,1796,-1632,5549,10011,-4462,100,136,-36,10,12,-2,14,1810,-1796,6734,8615,-1881,120,151,-31,12,13,-1,841,1774,-933,7996,8279,-283,156,164,-8,10,11,-1,65,1215,-1150,5430,6040,-610,18,19,-1,9,10,-1
KR_8189170297,20.0,0,10,27,-17,1,4,-3,1,1,0,0,0,1,0,0,34438,42624,-8186,1038,469,569,6663,8508,-1845,172,163,9,13,16,-3,641,2405,-1764,6026,10620,-4594,108,152,-44,11,13,-2,537,12,525,7257,8857,-1600,134,151,-17,12,13,-1,935,93,842,8690,8423,267,172,165,7,11,11,0,436,291,145,5802,6216,-414,18,19,-1,10,10,0
KR_8189170297,21.0,0,11,30,-19,1,4,-3,1,1,0,0,0,1,0,0,36018,45651,-9633,260,1176,-916,6785,9216,-2431,172,172,0,13,16,-3,1038,623,415,6728,11348,-4620,109,159,-50,11,13,-2,84,519,-435,7554,9364,-1810,134,152,-18,13,14,-1,248,809,-561,8878,9144,-266,175,184,-9,11,11,0,258,654,-396,6073,6579,-506,18,19,-1,10,11,-1
KR_8189170297,22.0,0,12,31,-19,2,5,-3,1,1,0,0,0,1,0,0,39736,48785,-9049,917,1875,-958,7442,9915,-2473,185,174,11,13,16,-3,1586,1462,124,8251,12187,-3936,117,173,-56,12,14,-2,419,733,-314,7889,9578,-1689,138,156,-18,13,14,-1,1028,1589,-561,9658,9924,-266,190,194,-4,12,12,0,681,1256,-575,6496,7181,-685,18,19,-1,11,11,0
KR_8189170297,23.0,0,13,33,-20,2,6,-4,1,1,0,0,0,1,0,0,41512,50861,-9349,321,2351,-2030,7646,10390,-2744,190,181,9,13,17,-4,298,94,204,8463,12334,-3871,117,173,-56,12,14,-2,892,990,-98,8362,9834,-1472,154,157,-3,14,14,0,1336,1047,289,9966,10681,-715,197,199,-2,12,12,0,75,257,-182,7075,7622,-547,19,19,0,11,12,-1
KR_8189170297,24.0,0,13,37,-24,2,6,-4,1,2,0,0,0,1,-1,0,42597,54137,-11540,712,3008,-2296,8037,11048,-3011,203,186,17,14,17,-3,421,665,-244,8585,12904,-4319,117,185,-68,12,15,-3,718,1656,-938,8588,10501,-1913,161,161,0,14,15,-1,207,643,-436,10136,11363,-1227,200,203,-3,12,12,0,251,955,-704,7251,8321,-1070,19,23,-4,11,12,-1
KR_8189170297,24.3,0,13,37,-24,2,6,-4,1,2,0,0,0,1,-1,0,42903,54598,-11695,871,3126,-2255,8196,11165,-2969,208,188,20,14,17,-3,53,772,-719,8618,13027,-4409,117,188,-71,12,15,-3,751,1689,-938,8621,10534,-1913,161,161,0,14,15,-1,239,785,-546,10169,11504,-1335,200,207,-7,12,13,-1,298,1002,-704,7299,8368,-1069,19,23,-4,11,12,-1
